time_idx,hour_of_day,hour_of_day_cos,hour_of_day_sin,month_of_year,month_of_year_cos,month_of_year_sin,season_of_year,season_of_year_cos,season_of_year_sin,sunposition_thetaZ,sunposition_solarAzimuth,sunposition_extraTerr,sunposition_solarHeight,clearsky_diffuse,clearsky_direct,clearsky_global,clearsky_diffuse_agg,clearsky_direct_agg,clearsky_global_agg,Albedo,WindComponentUat0,WindComponentVat0,WindComponentUat100,WindComponentVat100,DewpointTemperatureAt0,TemperatureAt0,PotentialVorticityAt1000,PotentialVorticityAt950,RelativeHumidityAt1000,RelativeHumidityAt950,RelativeHumidityAt0,SnowDensityAt0,SnowDepthAt0,SnowfallPlusStratiformSurfaceAt0,SurfacePressureAt0,SolarRadiationGlobalAt0,SolarRadiationDirectAt0,SolarRadiationDiffuseAt0,TotalCloudCoverAt0,LowerWindSpeed,LowerWindDirection,LowerWindDirectionMath,LowerWindDirectionCos,LowerWindDirectionSin,UpperWindSpeed,UpperWindDirection,UpperWindDirectionMath,UpperWindDirectionCos,UpperWindDirectionSin
1,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.250553379,3.65E-18,0,0,0,0,0,0,0,0.16793648,0.425266166,0.65389194,0.481073845,0.648674602,0.654980579,0.426538011,0.457604471,0.211843067,0.847222222,0.899809768,0.897686149,9.06E-08,0,3.99E-19,0.31488179,0,0,4.97E-04,0.96875,0.294079717,0.558633396,0.190752097,0.681740328,0.965800864,0.359087227,0.577455352,0.172559333,0.73378473,0.941977894
2,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.250817273,3.66E-18,0,0,0,0,0,0,0,0.167554014,0.407160392,0.750980377,0.459453322,0.756601826,0.661823848,0.434919267,0.465379808,0.257749059,0.833333333,0.884295807,0.892038709,9.06E-08,0,3.99E-19,0.231609199,0,0,4.97E-04,1,0.399157121,0.531500546,0.217852058,0.600192288,0.989858652,0.475393474,0.545542642,0.204424006,0.641216667,0.979643368
3,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.251080842,3.66E-18,0,0,0,0,0,0,0,0.167554014,0.544556968,0.667996595,0.600537085,0.643652082,0.59705705,0.399884411,0.52961539,0.255517399,0.756944444,0.760184115,0.831692461,9.06E-08,0,3.99E-19,0.231200236,0,0,4.97E-04,1,0.410575324,0.623444129,0.126019922,0.851166782,0.855924008,0.472248121,0.635528692,0.114573407,0.875927595,0.829663377
4,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.708460624,0.379841399,0.365260558,0.291539376,0.449026737,0.250851677,0.291821543,0.268047834,0.110970307,0.143218795,0.167554014,0.68894248,0.657904851,0.708066304,0.61418385,0.598158818,0.406052252,0.4610201,0.224922552,0.743055556,0.873953166,0.818583462,9.06E-08,0,3.99E-19,0.248368322,0.057197012,0.005364807,0.117924528,0.9765625,0.581901222,0.669253723,0.080265855,0.937663738,0.741765341,0.591014856,0.673493097,0.076666148,0.943092873,0.731663898
5,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.642045302,0.555848194,0.444929637,0.357954698,0.516983265,0.346841846,0.383311216,0.516741771,0.353931497,0.389707341,0.167554014,0.761857424,0.593752237,0.763621829,0.552328843,0.559800051,0.407030089,0.43528705,0.214736849,0.625,0.837753922,0.728758109,9.06E-08,0,3.99E-19,0.261168576,0.244397369,0.149812232,0.267378352,0.703125,0.653922333,0.698922636,0.050632905,0.974850037,0.656580585,0.641152214,0.701127588,0.049073253,0.976413247,0.651756253
6,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.906693279,0.715488907,0.118573067,0.093306721,0.219087409,0.054750783,0.087215316,0.393716447,0.207071388,0.24613012,0.167554014,0.696793887,0.636431813,0.741355828,0.607739475,0.523139509,0.401475371,0.499192231,0.223085421,0.527777778,0.718813551,0.660145125,9.06E-08,0,3.99E-19,0.282430462,0.174043929,0.096566524,0.209285005,0.421875,0.58061122,0.677019713,0.072509279,0.948920628,0.720159715,0.634306073,0.681408022,0.068763136,0.954045448,0.709385292
7,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.747868645,3.68E-18,0,0,0,0,0.027661848,0.00360494,0.00841216,0.167554014,0.708199078,0.654320321,0.750915511,0.627016309,0.498031531,0.369975662,0.499397539,0.221260296,0.5625,0.760184115,0.680852477,9.06E-08,0,3.99E-19,0.295269665,0.004348311,5.36E-04,0.0091857,0.78125,0.605988141,0.673972353,0.075552945,0.944629073,0.728702899,0.658521909,0.677493185,0.07267208,0.948766424,0.720472579
8,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.747606728,3.69E-18,0,0,0,0,0,0,0,0.167554014,0.661221397,0.649627947,0.707356332,0.621651405,0.520022899,0.344619383,0.468019081,0.221270588,0.701388889,0.879124486,0.794303551,9.06E-08,0,3.99E-19,0.304307184,1.11E-04,0,7.45E-04,0.2421875,0.539886722,0.665792279,0.083723104,0.93230988,0.751213442,0.594543025,0.671080796,0.079074818,0.939536258,0.738342886
9,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.252655325,3.69E-18,0,0,0,0,0,0,0,0.167554014,0.60890005,0.65265525,0.667246748,0.634164658,0.514629197,0.332250677,0.45258228,0.223473088,0.715277778,0.889467127,0.813336766,9.06E-08,0,3.99E-19,0.292988377,0,0,4.97E-04,0.3203125,0.474159466,0.651298788,0.098199027,0.907708879,0.789436503,0.54859515,0.658272603,0.091863732,0.918986683,0.772854564
10,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.252916569,3.70E-18,0,0,0,0,0,0,0,0.167150051,0.445719481,0.679125705,0.512929878,0.715491865,0.494086597,0.333744714,0.48450486,0.239650482,0.631944444,0.755012794,0.762055348,9.06E-08,0,3.99E-19,0.235231439,0,0,4.97E-04,1,0.334415491,0.567168608,0.182227231,0.706414277,0.955404368,0.458440894,0.578865774,0.171151034,0.737686372,0.939891965
